03/17/2021 03:50:30 - INFO     - Training on cuda
03/17/2021 03:50:30 - INFO     - Train/Test Split: 94.6% / 5.4%
03/17/2021 03:50:38 - INFO     - Starting new training for /home/ubuntu/EVGen/Results/AWS_test_v10
03/17/2021 03:51:30 - INFO     - Completed: Epoch 8/5000 	 Batch 10/70.0 	 Total Batches 500/350000.0 	 Time left 10:09:12.349695
03/17/2021 03:52:22 - INFO     - Completed: Epoch 15/5000 	 Batch 20/70.0 	 Total Batches 1000/350000.0 	 Time left 10:07:20.008535
03/17/2021 03:53:14 - INFO     - Completed: Epoch 22/5000 	 Batch 30/70.0 	 Total Batches 1500/350000.0 	 Time left 10:05:25.947961
03/17/2021 03:54:08 - INFO     - Completed: Epoch 29/5000 	 Batch 40/70.0 	 Total Batches 2000/350000.0 	 Time left 10:08:24.259975
03/17/2021 03:55:01 - INFO     - Completed: Epoch 36/5000 	 Batch 50/70.0 	 Total Batches 2500/350000.0 	 Time left 10:10:03.966338
03/17/2021 03:55:53 - INFO     - Completed: Epoch 43/5000 	 Batch 60/70.0 	 Total Batches 3000/350000.0 	 Time left 10:08:51.960446
03/17/2021 03:56:45 - INFO     - Completed: Epoch 50/5000 	 Batch 70/70.0 	 Total Batches 3500/350000.0 	 Time left 10:06:52.888380
03/17/2021 03:57:37 - INFO     - Completed: Epoch 58/5000 	 Batch 10/70.0 	 Total Batches 4000/350000.0 	 Time left 10:05:03.295797
03/17/2021 03:58:29 - INFO     - Completed: Epoch 65/5000 	 Batch 20/70.0 	 Total Batches 4500/350000.0 	 Time left 10:03:33.879769
03/17/2021 03:59:22 - INFO     - Completed: Epoch 72/5000 	 Batch 30/70.0 	 Total Batches 5000/350000.0 	 Time left 10:02:14.248497
03/17/2021 04:00:13 - INFO     - Completed: Epoch 79/5000 	 Batch 40/70.0 	 Total Batches 5500/350000.0 	 Time left 10:01:08.335042
03/17/2021 04:01:05 - INFO     - Completed: Epoch 86/5000 	 Batch 50/70.0 	 Total Batches 6000/350000.0 	 Time left 9:59:56.205159
03/17/2021 04:01:57 - INFO     - Completed: Epoch 93/5000 	 Batch 60/70.0 	 Total Batches 6500/350000.0 	 Time left 9:58:47.615782
03/17/2021 04:02:49 - INFO     - Completed: Epoch 100/5000 	 Batch 70/70.0 	 Total Batches 7000/350000.0 	 Time left 9:57:39.432071
03/17/2021 04:03:41 - INFO     - Completed: Epoch 108/5000 	 Batch 10/70.0 	 Total Batches 7500/350000.0 	 Time left 9:56:31.662437
03/17/2021 04:04:34 - INFO     - Completed: Epoch 115/5000 	 Batch 20/70.0 	 Total Batches 8000/350000.0 	 Time left 9:55:36.942014
03/17/2021 04:05:26 - INFO     - Completed: Epoch 122/5000 	 Batch 30/70.0 	 Total Batches 8500/350000.0 	 Time left 9:54:38.199060
03/17/2021 04:06:18 - INFO     - Completed: Epoch 129/5000 	 Batch 40/70.0 	 Total Batches 9000/350000.0 	 Time left 9:53:41.431175
03/17/2021 04:07:10 - INFO     - Completed: Epoch 136/5000 	 Batch 50/70.0 	 Total Batches 9500/350000.0 	 Time left 9:52:44.028767
03/17/2021 04:08:02 - INFO     - Completed: Epoch 143/5000 	 Batch 60/70.0 	 Total Batches 10000/350000.0 	 Time left 9:51:47.622743
03/17/2021 04:08:54 - INFO     - Completed: Epoch 150/5000 	 Batch 70/70.0 	 Total Batches 10500/350000.0 	 Time left 9:50:54.449444
03/17/2021 04:09:46 - INFO     - Completed: Epoch 158/5000 	 Batch 10/70.0 	 Total Batches 11000/350000.0 	 Time left 9:49:51.600746
03/17/2021 04:10:38 - INFO     - Completed: Epoch 165/5000 	 Batch 20/70.0 	 Total Batches 11500/350000.0 	 Time left 9:48:55.350804
03/17/2021 04:11:30 - INFO     - Completed: Epoch 172/5000 	 Batch 30/70.0 	 Total Batches 12000/350000.0 	 Time left 9:47:59.308019
03/17/2021 04:12:22 - INFO     - Completed: Epoch 179/5000 	 Batch 40/70.0 	 Total Batches 12500/350000.0 	 Time left 9:47:09.485513
03/17/2021 04:13:15 - INFO     - Completed: Epoch 186/5000 	 Batch 50/70.0 	 Total Batches 13000/350000.0 	 Time left 9:46:23.405909
03/17/2021 04:14:07 - INFO     - Completed: Epoch 193/5000 	 Batch 60/70.0 	 Total Batches 13500/350000.0 	 Time left 9:45:34.144305
03/17/2021 04:15:00 - INFO     - Completed: Epoch 200/5000 	 Batch 70/70.0 	 Total Batches 14000/350000.0 	 Time left 9:44:59.524354
03/17/2021 04:15:54 - INFO     - Completed: Epoch 208/5000 	 Batch 10/70.0 	 Total Batches 14500/350000.0 	 Time left 9:44:42.225756
03/17/2021 04:16:48 - INFO     - Completed: Epoch 215/5000 	 Batch 20/70.0 	 Total Batches 15000/350000.0 	 Time left 9:44:24.443912
03/17/2021 04:17:41 - INFO     - Completed: Epoch 222/5000 	 Batch 30/70.0 	 Total Batches 15500/350000.0 	 Time left 9:44:01.981512
03/17/2021 04:18:37 - INFO     - Completed: Epoch 229/5000 	 Batch 40/70.0 	 Total Batches 16000/350000.0 	 Time left 9:44:25.996706
03/17/2021 04:19:31 - INFO     - Completed: Epoch 236/5000 	 Batch 50/70.0 	 Total Batches 16500/350000.0 	 Time left 9:43:51.684005
03/17/2021 04:20:23 - INFO     - Completed: Epoch 243/5000 	 Batch 60/70.0 	 Total Batches 17000/350000.0 	 Time left 9:43:02.081361
03/17/2021 04:21:15 - INFO     - Completed: Epoch 250/5000 	 Batch 70/70.0 	 Total Batches 17500/350000.0 	 Time left 9:42:00.871110
03/17/2021 04:22:07 - INFO     - Completed: Epoch 258/5000 	 Batch 10/70.0 	 Total Batches 18000/350000.0 	 Time left 9:40:51.399552
03/17/2021 04:22:59 - INFO     - Completed: Epoch 265/5000 	 Batch 20/70.0 	 Total Batches 18500/350000.0 	 Time left 9:39:49.509502
03/17/2021 04:23:51 - INFO     - Completed: Epoch 272/5000 	 Batch 30/70.0 	 Total Batches 19000/350000.0 	 Time left 9:38:47.740860
03/17/2021 04:24:43 - INFO     - Completed: Epoch 279/5000 	 Batch 40/70.0 	 Total Batches 19500/350000.0 	 Time left 9:37:47.328204
03/17/2021 04:25:35 - INFO     - Completed: Epoch 286/5000 	 Batch 50/70.0 	 Total Batches 20000/350000.0 	 Time left 9:36:46.290470
03/17/2021 04:26:27 - INFO     - Completed: Epoch 293/5000 	 Batch 60/70.0 	 Total Batches 20500/350000.0 	 Time left 9:35:49.162146
03/17/2021 04:27:19 - INFO     - Completed: Epoch 300/5000 	 Batch 70/70.0 	 Total Batches 21000/350000.0 	 Time left 9:34:51.729273
03/17/2021 04:28:11 - INFO     - Completed: Epoch 308/5000 	 Batch 10/70.0 	 Total Batches 21500/350000.0 	 Time left 9:33:43.681521
03/17/2021 04:29:03 - INFO     - Completed: Epoch 315/5000 	 Batch 20/70.0 	 Total Batches 22000/350000.0 	 Time left 9:32:46.229633
03/17/2021 04:29:55 - INFO     - Completed: Epoch 322/5000 	 Batch 30/70.0 	 Total Batches 22500/350000.0 	 Time left 9:31:50.089655
03/17/2021 04:30:47 - INFO     - Completed: Epoch 329/5000 	 Batch 40/70.0 	 Total Batches 23000/350000.0 	 Time left 9:30:53.115705
03/17/2021 04:31:39 - INFO     - Completed: Epoch 336/5000 	 Batch 50/70.0 	 Total Batches 23500/350000.0 	 Time left 9:29:58.064940
